customer_id,txn_count,avg_balance,monthly_spend
CUST-1001,42,18500.50,3200.00
CUST-1002,8,4200.00,450.25
CUST-1003,55,31200.75,5100.80
CUST-1004,15,8900.00,1200.50
CUST-1005,3,1500.00,180.00
CUST-1006,38,22100.00,4100.00
CUST-1007,12,6700.25,890.75
CUST-1008,61,45000.00,7200.50
CUST-1009,6,3100.00,320.00
CUST-1010,29,15800.00,2800.00
CUST-1011,44,26700.50,4300.25
CUST-1012,9,5100.00,600.00
CUST-1013,52,33800.00,5600.00
CUST-1014,18,10200.00,1450.00
CUST-1015,4,2200.00,250.50
CUST-1016,33,19400.00,3500.00
CUST-1017,21,12400.00,1900.75
CUST-1018,47,28900.00,4800.00
CUST-1019,7,3800.00,410.00
CUST-1020,58,40100.00,6500.00
CUST-1021,11,7400.00,950.25
CUST-1022,36,21000.00,3800.00
CUST-1023,25,14200.00,2400.50
CUST-1024,5,2800.00,300.00
CUST-1025,49,30100.00,5000.00
CUST-1026,14,8100.00,1100.00
CUST-1027,40,23500.00,4200.75
CUST-1028,2,980.00,120.00
CUST-1029,53,34500.00,5700.00
CUST-1030,16,9500.00,1350.00
CUST-1031,31,17600.00,3100.00
CUST-1032,10,5900.00,750.00
CUST-1033,46,27800.00,4600.00
CUST-1034,19,10800.00,1550.25
CUST-1035,8,4600.00,520.00
CUST-1036,57,39200.00,6300.00
CUST-1037,23,13100.00,2100.00
CUST-1038,35,20300.00,3700.50
CUST-1039,6,3400.00,380.00
CUST-1040,50,31800.00,5300.00
CUST-1041,13,7800.00,1050.00
CUST-1042,39,22800.00,4000.00
CUST-1043,27,14900.00,2600.00
CUST-1044,4,1900.00,210.50
CUST-1045,43,25500.00,4400.00
CUST-1046,17,9900.00,1400.00
CUST-1047,54,35200.00,5800.75
CUST-1048,9,5300.00,680.00
CUST-1049,32,18100.00,3300.00
CUST-1050,22,12700.00,2000.00
CUST-1051,5,2600.00,290.00
CUST-1052,48,29500.00,4900.00
CUST-1053,12,7100.00,920.00
CUST-1054,37,21600.00,3900.00
CUST-1055,28,15400.00,2700.25
CUST-1056,3,1200.00,150.00
CUST-1057,56,38500.00,6200.00
CUST-1058,20,11600.00,1750.00
CUST-1059,41,24100.00,4250.00
CUST-1060,7,3600.00,400.00
CUST-1061,51,32500.00,5400.00
CUST-1062,15,8700.00,1250.00
CUST-1063,34,19800.00,3600.00
CUST-1064,11,6800.00,870.50
CUST-1065,45,27200.00,4500.00
CUST-1066,18,10400.00,1500.00
CUST-1067,59,41800.00,6800.00
CUST-1068,8,4400.00,490.00
CUST-1069,30,16900.00,3000.00
CUST-1070,24,13800.00,2300.00
CUST-1071,6,3300.00,370.00
CUST-1072,47,28300.00,4700.00
CUST-1073,14,8400.00,1150.00
CUST-1074,38,22400.00,4050.00
CUST-1075,26,14600.00,2550.00
CUST-1076,4,2100.00,240.00
CUST-1077,55,37800.00,6100.50
CUST-1078,19,11000.00,1600.00
CUST-1079,42,24800.00,4350.00
CUST-1080,10,5600.00,720.00
