entry_id,txn_id,debit,credit,account_code,posted_date
L001,T001,100.00,0.00,5000,2026-01-15
L002,T001,0.00,99.80,1000,2026-01-15
L003,T001,0.00,0.20,3000,2026-01-15
L004,T002,200.50,0.00,5000,2026-01-15
L005,T002,0.00,200.10,1000,2026-01-15
L006,T002,0.00,0.40,3000,2026-01-15
L007,T003,500.00,0.00,5000,2026-01-15
L008,T003,0.00,499.00,1000,2026-01-15
L009,T003,0.00,1.00,3000,2026-01-15
L010,T004,75.25,0.00,5000,2026-01-15
L011,T004,0.00,75.10,1000,2026-01-15
L012,T004,0.00,0.15,3000,2026-01-15
L013,T005,1000.00,0.00,5000,2026-01-16
L014,T005,0.00,997.50,1000,2026-01-16
L015,T005,0.00,2.00,3000,2026-01-16
L016,T006,250.00,0.00,5000,2026-01-16
L017,T006,0.00,249.50,1000,2026-01-16
L018,T006,0.00,0.50,3000,2026-01-16
L019,T008,3000.00,0.00,5000,2026-01-16
L020,T008,0.00,2994.00,1000,2026-01-16
L021,T008,0.00,6.00,3000,2026-01-16
L022,T009,150.75,0.00,5000,2026-01-17
L023,T009,0.00,150.45,1000,2026-01-17
L024,T009,0.00,0.30,3000,2026-01-17
L025,T010,80.00,0.00,5000,2026-01-17
L026,T010,0.00,79.84,1000,2026-01-17
L027,T010,0.00,0.16,3000,2026-01-17
L028,T011,1200.00,0.00,5000,2026-01-17
L029,T011,0.00,1197.60,1000,2026-01-17
L030,T011,0.00,2.40,3000,2026-01-17
L031,T012,45.99,0.00,5000,2026-01-17
L032,T012,0.00,45.90,1000,2026-01-17
L033,T012,0.00,0.09,3000,2026-01-17
L034,T013,600.00,0.00,5000,2026-01-17
L035,T013,0.00,598.00,1000,2026-01-17
L036,T013,0.00,1.20,3000,2026-01-17
L037,T014,100.00,0.00,5000,2026-01-18
L038,T014,0.00,99.80,1000,2026-01-18
L039,T014,0.00,0.20,3000,2026-01-18
L040,T015,2500.00,0.00,5000,2026-01-18
L041,T015,0.00,2495.00,1000,2026-01-18
L042,T015,0.00,5.00,3000,2026-01-18
L043,T016,175.50,0.00,5000,2026-01-18
L044,T016,0.00,175.15,1000,2026-01-18
L045,T016,0.00,0.35,3000,2026-01-18
L046,T017,800.00,0.00,5000,2026-01-18
L047,T017,0.00,798.40,1000,2026-01-18
L048,T017,0.00,1.60,3000,2026-01-18
L049,T019,4500.00,0.00,5000,2026-01-19
L050,T019,0.00,4491.00,1000,2026-01-19
L051,T019,0.00,9.00,3000,2026-01-19
L052,T020,100.00,0.00,5000,2026-01-19
L053,T020,0.00,99.80,1000,2026-01-19
L054,T020,0.00,0.20,3000,2026-01-19
