temp,pressure,humidity,flux
32.788536,995.750323,43.751466,47.892872
33.533990,1021.765387,34.346942,41.115788
28.438436,995.893917,40.931899,33.986651
23.976753,1014.496533,57.247074,33.988254
24.408812,1012.677971,70.471523,76.838442
33.962788,1005.207515,37.773975,44.612109
39.144261,1005.097836,34.637292,57.346981
32.074521,1019.213848,66.486589,62.730884
30.724562,1024.193473,48.926719,40.378024
32.370395,1020.851207,58.867607,54.611863
34.091437,996.374732,41.394914,48.629706
24.655818,998.030043,43.898680,27.587964
32.713689,1005.944965,48.509048,74.151462
38.733092,1014.441062,60.456550,74.609189
23.422773,1016.873804,38.170125,13.777153
32.799995,1011.708492,64.230713,65.091274
36.857038,1018.279997,41.452404,54.390391
25.354818,1001.329485,77.145486,55.205510
37.527353,1004.440336,62.771933,70.866148
29.177037,1002.946405,42.331375,71.569322
31.227363,1002.882248,59.229300,56.319076
24.386415,1024.926128,55.476315,31.448976
21.818188,996.413491,35.482457,11.511076
28.443199,996.905831,49.080964,38.835549
39.922428,1010.873430,78.553919,91.490555
34.414436,1015.451311,56.848517,59.485818
25.336504,1014.228854,35.577609,44.930088
39.076319,1021.275588,43.169453,60.330614
30.011722,1000.359556,75.631392,66.358818
32.778990,1013.269106,37.641963,39.550921
35.250216,1011.181371,68.931324,71.879017
26.483121,995.584302,76.454931,81.068986
37.574438,1019.949966,45.375706,60.717991
38.938989,997.569604,54.299523,72.174021
21.384250,1017.818065,68.291721,37.134475
