run_id,instrument,batch,calibrant,peak_label,expected_nm,observed_nm,error_nm,peak_area
r001,spec_a,batch_alpha,neon,Ne585,585.248,585.219452,-0.028548,220.0
r001,spec_a,batch_alpha,neon,Ne640,640.225,640.201604,-0.023396,250.0
r001,spec_a,batch_alpha,neon,Ne703,703.241,703.241254,0.000254,185.0
r002,spec_a,batch_alpha,neon,Ne585,585.248,585.298409,0.050409,215.5
r002,spec_a,batch_alpha,neon,Ne640,640.225,640.283689,0.058689,253.5
r002,spec_a,batch_alpha,neon,Ne703,703.241,703.233143,-0.007857,200.5
r003,spec_b,batch_beta,argon,Ar696,696.543,696.548594,0.005594,264.0
r003,spec_b,batch_beta,argon,Ar707,706.722,706.74597,0.02397,294.0
r003,spec_b,batch_beta,argon,Ar738,738.398,738.403466,0.005466,256.0
r004,spec_b,batch_beta,argon,Ar696,696.543,696.537134,-0.005866,243.0
r004,spec_b,batch_beta,argon,Ar707,706.722,706.726173,0.004173,278.0
r004,spec_b,batch_beta,argon,Ar738,738.398,738.42281,0.02481,242.0
r010,spec_c,batch_gamma,neon,Ne585,585.248,585.126016,-0.121984,200.0
r010,spec_c,batch_gamma,neon,Ne640,640.225,640.401512,0.176512,239.0
r010,spec_c,batch_gamma,neon,Ne703,703.241,703.092797,-0.148203,170.0
r011,spec_c,batch_alpha,neon,Ne585,585.248,585.070658,-0.177342,214.0
r011,spec_c,batch_alpha,neon,Ne640,640.225,640.083541,-0.141459,244.0
r011,spec_c,batch_alpha,neon,Ne703,703.241,703.096194,-0.144806,183.0
r012,spec_b,batch_beta,argon,Ar696,696.543,696.66784,0.12484,260.5
r012,spec_b,batch_beta,argon,Ar707,706.722,706.571766,-0.150234,287.5
r012,spec_b,batch_beta,argon,Ar738,738.398,738.240714,-0.157286,250.5
r013,spec_a,batch_alpha,neon,Ne585,585.248,585.219452,-0.028548,220.0
r013,spec_a,batch_alpha,neon,Ne640,640.225,640.201604,-0.023396,250.0
r013,spec_a,batch_alpha,neon,Ne703,703.241,703.241254,0.000254,185.0
r014,spec_c,batch_gamma,neon,Ne585,585.248,585.224034,-0.023966,222.0
r014,spec_c,batch_gamma,neon,Ne640,640.225,640.233579,0.008579,254.0
r014,spec_c,batch_gamma,neon,Ne703,703.241,703.220358,-0.020642,197.0
r015,spec_b,batch_quarantine,argon,Ar696,696.543,696.508752,-0.034248,257.0
r015,spec_b,batch_quarantine,argon,Ar707,706.722,706.724171,0.002171,299.0
r015,spec_b,batch_quarantine,argon,Ar738,738.398,738.437273,0.039273,264.0
r017,spec_c,batch_gamma,neon,Ne585,585.248,585.396139,0.148139,202.5
r017,spec_c,batch_gamma,neon,Ne640,640.225,640.477331,0.252331,240.5
r017,spec_c,batch_gamma,neon,Ne703,703.241,703.369268,0.128268,178.5
r018,spec_b,batch_beta,argon,Ar696,696.543,696.998286,0.455286,248.5
r018,spec_b,batch_beta,argon,Ar707,706.722,706.732005,0.010005,292.5
r018,spec_b,batch_beta,argon,Ar738,738.398,738.513,0.115,254.5
